Time,Id
9.2406E+0,-864.7563E-9
9.2585E+0,-863.9815E-9
9.2764E+0,-863.4370E-9
9.2944E+0,-863.1020E-9
9.3123E+0,-862.7040E-9
9.3302E+0,-862.6203E-9
9.3481E+0,-864.9657E-9
9.3660E+0,-866.6412E-9
9.3840E+0,-868.2955E-9
9.4019E+0,-869.6567E-9
9.4198E+0,-870.8085E-9
9.4377E+0,-871.0389E-9
9.4556E+0,-869.9290E-9
9.4735E+0,-869.5102E-9
9.4914E+0,-869.0914E-9
9.5094E+0,-868.7354E-9
9.5273E+0,-868.4211E-9
9.5452E+0,-870.1594E-9
9.5631E+0,-871.5206E-9
9.5810E+0,-873.0075E-9
9.5989E+0,-874.5781E-9
9.6169E+0,-876.3582E-9
9.6348E+0,-877.2378E-9
9.6527E+0,-876.0231E-9
9.6706E+0,-875.5624E-9
9.6885E+0,-874.9760E-9
9.7064E+0,-874.6619E-9
9.7243E+0,-874.4525E-9
9.7423E+0,-876.0650E-9
9.7602E+0,-877.9707E-9
9.7781E+0,-879.3949E-9
9.7960E+0,-880.9026E-9
9.8139E+0,-882.4732E-9
9.8318E+0,-883.4994E-9
9.8498E+0,-881.8660E-9
9.8677E+0,-881.3215E-9
9.8856E+0,-881.1749E-9
9.9035E+0,-880.6095E-9
9.9214E+0,-880.1906E-9
9.9393E+0,-881.5518E-9
9.9572E+0,-883.2063E-9
9.9751E+0,-884.4209E-9
9.9931E+0,-885.6983E-9
10.0110E+0,-886.7035E-9
10.0289E+0,-888.2952E-9
10.0468E+0,-886.9549E-9
10.0647E+0,-886.1381E-9
10.0826E+0,-885.8449E-9
10.1005E+0,-885.3632E-9
10.1184E+0,-885.1329E-9
10.1363E+0,-885.8659E-9
10.1543E+0,-887.5203E-9
10.1722E+0,-888.7978E-9
10.1901E+0,-890.6197E-9
10.2080E+0,-891.9810E-9
10.2259E+0,-893.0909E-9
10.2439E+0,-892.2113E-9
10.2618E+0,-891.5831E-9
10.2797E+0,-890.9757E-9
10.2976E+0,-890.8710E-9
10.3155E+0,-890.4313E-9
10.3334E+0,-890.3893E-9
10.3513E+0,-892.9653E-9
10.3693E+0,-894.3683E-9
10.3872E+0,-895.5620E-9
10.4051E+0,-896.5673E-9
10.4230E+0,-897.3631E-9
10.4409E+0,-896.6929E-9
10.4588E+0,-895.8343E-9
10.4767E+0,-895.4155E-9
10.4947E+0,-895.2269E-9
10.5126E+0,-895.0804E-9
10.5305E+0,-894.8710E-9
10.5485E+0,-896.3578E-9
10.5664E+0,-897.7609E-9
10.5843E+0,-899.1641E-9
10.6022E+0,-900.4625E-9
10.6201E+0,-901.7400E-9
10.6380E+0,-901.6980E-9
10.6559E+0,-900.9651E-9
10.6738E+0,-900.4834E-9
10.6918E+0,-899.9389E-9
10.7097E+0,-899.8132E-9
10.7276E+0,-899.3944E-9
10.7455E+0,-901.3839E-9
10.7635E+0,-902.7870E-9
10.7814E+0,-904.6508E-9
10.7993E+0,-905.8236E-9
10.8172E+0,-906.8498E-9
10.8351E+0,-906.8498E-9
10.8530E+0,-905.8446E-9
10.8709E+0,-905.2163E-9
10.8888E+0,-904.8812E-9
10.9068E+0,-904.5671E-9
10.9247E+0,-904.1273E-9
10.9426E+0,-905.7817E-9
10.9605E+0,-907.1220E-9
10.9785E+0,-908.0854E-9
10.9964E+0,-909.1953E-9
11.0143E+0,-910.1586E-9
11.0322E+0,-911.3314E-9
11.0501E+0,-909.6141E-9
11.0681E+0,-909.0277E-9
11.0860E+0,-908.6927E-9
11.1039E+0,-908.3157E-9
11.1218E+0,-907.9178E-9
11.1397E+0,-909.1115E-9
11.1576E+0,-910.8078E-9
11.1755E+0,-912.3365E-9
11.1934E+0,-913.5513E-9
11.2113E+0,-914.5774E-9
11.2293E+0,-915.4570E-9
11.2472E+0,-913.9700E-9
11.2651E+0,-913.5303E-9
11.2830E+0,-912.8182E-9
11.3009E+0,-912.7135E-9
11.3188E+0,-912.5669E-9
11.3367E+0,-912.9858E-9
11.3547E+0,-914.7030E-9
11.3726E+0,-915.7501E-9
11.3905E+0,-916.7134E-9
11.4084E+0,-917.7186E-9
11.4263E+0,-918.5773E-9
11.4442E+0,-917.3835E-9
11.4621E+0,-916.4831E-9
11.4801E+0,-916.1689E-9
11.4980E+0,-915.9177E-9
11.5159E+0,-915.7083E-9
11.5338E+0,-915.9386E-9
11.5518E+0,-918.2003E-9
11.5697E+0,-919.5197E-9
11.5876E+0,-920.6925E-9
11.6055E+0,-922.0955E-9
11.6234E+0,-923.0379E-9
11.6413E+0,-922.4515E-9
11.6592E+0,-921.4464E-9
11.6772E+0,-921.3626E-9
11.6951E+0,-920.6505E-9
